file,role
decoys__figures__hotspot__comparison__backend_comparison_decoy_vs_refold.png,Backend comparison landscape
decoys__figures__hotspot__esm__decoy_vs_refold_dockq_delta_dg.png,Decoy vs refold DockQ/delta-dG landscape
decoys__figures__hotspot__opendde__decoy_vs_refold_dockq_delta_dg.png,Decoy vs refold DockQ/delta-dG landscape
decoys__figures__interface__comparison__backend_comparison_decoy_vs_refold.png,Backend comparison landscape
decoys__figures__interface__esm__decoy_vs_refold_dockq_delta_dg.png,Decoy vs refold DockQ/delta-dG landscape
decoys__figures__interface__opendde__decoy_vs_refold_dockq_delta_dg.png,Decoy vs refold DockQ/delta-dG landscape
decoys__figures__native_refold__comparison__refold_vs_crystal_backend_comparison.png,Figure
decoys__figures__native_refold__comparison__refold_vs_relaxed_backend_comparison.png,Figure
decoys__figures__native_refold__esm__refold_vs_crystal_tm_histogram.png,Native refold TM quality histogram
decoys__figures__native_refold__esm__refold_vs_relaxed_tm_histogram.png,Native refold TM quality histogram
decoys__figures__native_refold__opendde__refold_vs_crystal_tm_histogram.png,Native refold TM quality histogram
decoys__figures__native_refold__opendde__refold_vs_relaxed_tm_histogram.png,Native refold TM quality histogram
decoys__figures__redesign_mode__esm__redesign_mode_decoy_vs_refold.png,Hotspot vs interface redesign-mode comparison
decoys__figures__redesign_mode__opendde__redesign_mode_decoy_vs_refold.png,Hotspot vs interface redesign-mode comparison
validation__figures__biophysical_decoy_refold__hotspot__esm__decoy_vs_native_refold_biophysical_features.png,Biophysical decoy-vs-native-refold Rosetta interface feature comparison
validation__figures__biophysical_decoy_refold__hotspot__opendde__decoy_vs_native_refold_biophysical_features.png,Biophysical decoy-vs-native-refold Rosetta interface feature comparison
validation__figures__biophysical_decoy_refold__interface__esm__decoy_vs_native_refold_biophysical_features.png,Biophysical decoy-vs-native-refold Rosetta interface feature comparison
validation__figures__biophysical_decoy_refold__interface__opendde__decoy_vs_native_refold_biophysical_features.png,Biophysical decoy-vs-native-refold Rosetta interface feature comparison
validation__figures__mutation_profile__esm__hotspot_mutation_chemistry_enrichment.png,Mutation chemistry enrichment
validation__figures__mutation_profile__esm__hotspot_mutation_count_map.png,Mutation count landscape map
validation__figures__mutation_profile__opendde__hotspot_mutation_chemistry_enrichment.png,Mutation chemistry enrichment
validation__figures__mutation_profile__opendde__hotspot_mutation_count_map.png,Mutation count landscape map
validation__figures__reference_bias__esm__bias_excess_landscape.png,Reference-bias excess landscape
validation__figures__reference_bias__hotspot_q1_reference_bias_boxplot_funnel.png,Reference bias and robust-Q1 funnel
validation__figures__reference_bias__opendde__bias_excess_landscape.png,Reference-bias excess landscape
