structure_id,native_refold_tm_percent,reference_mode,backend,backend_label
10zo_H_A,87.44653992478023,relaxed,esmfold2,ESM
10zo_H_B,92.63533166624504,relaxed,esmfold2,ESM
11ol_H_A,96.5465792325292,relaxed,esmfold2,ESM
11oo_H_A,96.99309131532226,relaxed,esmfold2,ESM
11oq_H_A,96.46853079604328,relaxed,esmfold2,ESM
11or_H_A,94.9409021012784,relaxed,esmfold2,ESM
11ou_H_A,94.29014541676864,relaxed,esmfold2,ESM
11zw_H_A,93.23580559907128,relaxed,esmfold2,ESM
1bzq_H_A,99.20881300628062,relaxed,esmfold2,ESM
1bzq_H_B,99.33151171228182,relaxed,esmfold2,ESM
1bzq_H_C,99.20255204413635,relaxed,esmfold2,ESM
1bzq_H_D,99.25169022189677,relaxed,esmfold2,ESM
1jto_H_A,98.75901682275436,relaxed,esmfold2,ESM
1jto_H_B,98.48810589315076,relaxed,esmfold2,ESM
1mel_H_A,98.986956942537,relaxed,esmfold2,ESM
1mel_H_B,98.49256303510178,relaxed,esmfold2,ESM
1op9_H_A,99.49235960178056,relaxed,esmfold2,ESM
1zmy_H_A,98.09045355721932,relaxed,esmfold2,ESM
1zvh_H_A,97.6620149741431,relaxed,esmfold2,ESM
1zvy_H_A,99.36731589264224,relaxed,esmfold2,ESM
2p42_H_A,98.88774128587409,relaxed,esmfold2,ESM
2p42_H_B,99.45625325296396,relaxed,esmfold2,ESM
2p43_H_A,97.32712389360258,relaxed,esmfold2,ESM
2p44_H_A,96.88005247666204,relaxed,esmfold2,ESM
2p45_H_A,99.56812085538876,relaxed,esmfold2,ESM
2p47_H_A,98.37900022677351,relaxed,esmfold2,ESM
2p49_H_A,96.98704781842868,relaxed,esmfold2,ESM
2p4a_H_A,99.60481157592976,relaxed,esmfold2,ESM
2p4a_H_B,99.7214228490292,relaxed,esmfold2,ESM
2vyr_H_A,98.1069236237541,relaxed,esmfold2,ESM
2vyr_H_C,82.79650925906611,relaxed,esmfold2,ESM
2vyr_H_D,82.93768984564014,relaxed,esmfold2,ESM
2xv6_H_A,96.3592273837426,relaxed,esmfold2,ESM
2xv6_H_B,94.16512053082808,relaxed,esmfold2,ESM
3cfi_H_A,91.75215220746357,relaxed,esmfold2,ESM
3cfi_H_B,88.01423470520704,relaxed,esmfold2,ESM
3cfi_H_C,90.72823026652948,relaxed,esmfold2,ESM
3cfi_H_D,93.87632391203094,relaxed,esmfold2,ESM
3g9a_H_A,99.54988675489112,relaxed,esmfold2,ESM
3k1k_H_A,92.84519744864238,relaxed,esmfold2,ESM
3k1k_H_B,95.48371064665984,relaxed,esmfold2,ESM
3k74_H_A,98.4995461084312,relaxed,esmfold2,ESM
3k7u_H_A,88.32953039479392,relaxed,esmfold2,ESM
3k80_H_A,92.42929880290389,relaxed,esmfold2,ESM
3k80_H_B,88.89447636769333,relaxed,esmfold2,ESM
3ogo_H_A,99.3113073742699,relaxed,esmfold2,ESM
3p9w_H_A,95.21541975538878,relaxed,esmfold2,ESM
3p9w_H_B,95.05306650938115,relaxed,esmfold2,ESM
3p9w_H_C,96.23156464835522,relaxed,esmfold2,ESM
3p9w_H_D,92.54252060155363,relaxed,esmfold2,ESM
3qsk_H_A,96.30396757287284,relaxed,esmfold2,ESM
3zhd_H_A,93.95463640734276,relaxed,esmfold2,ESM
4dk3_H_A,86.24983685067018,relaxed,esmfold2,ESM
4dk3_H_B,76.21968047081188,relaxed,esmfold2,ESM
4dk6_H_A,88.65794642565051,relaxed,esmfold2,ESM
4dk6_H_B,83.46024350061919,relaxed,esmfold2,ESM
4eig_H_A,99.03929328068276,relaxed,esmfold2,ESM
4eiz_H_A,96.55179620988832,relaxed,esmfold2,ESM
4eiz_H_B,98.47411011707668,relaxed,esmfold2,ESM
4ej1_H_A,98.57975548079844,relaxed,esmfold2,ESM
4ej1_H_B,98.67976273143536,relaxed,esmfold2,ESM
4fhb_H_A,97.36071646516622,relaxed,esmfold2,ESM
4hep_H_A,88.3634996000367,relaxed,esmfold2,ESM
4ios_H_A,98.0708892290288,relaxed,esmfold2,ESM
4kml_H_A,88.27630281860274,relaxed,esmfold2,ESM
4n9o_H_A,89.92119084466914,relaxed,esmfold2,ESM
4nbx_H_A,92.57012760370291,relaxed,esmfold2,ESM
4nby_H_A,97.8867303097083,relaxed,esmfold2,ESM
4nby_H_B,97.33092260891668,relaxed,esmfold2,ESM
4nbz_H_A,96.72235088052182,relaxed,esmfold2,ESM
4nbz_H_B,96.97965699035642,relaxed,esmfold2,ESM
4nc0_H_A,97.4826315165445,relaxed,esmfold2,ESM
4nc1_H_A,91.09539857131,relaxed,esmfold2,ESM
4nc1_H_B,97.0870657918514,relaxed,esmfold2,ESM
4nc1_H_C,95.18565012868376,relaxed,esmfold2,ESM
4nc1_H_D,95.99562958833056,relaxed,esmfold2,ESM
4nc2_H_A,87.26347018217469,relaxed,esmfold2,ESM
4orz_H_A,82.8478821952231,relaxed,esmfold2,ESM
4pgj_H_A,98.57433923366273,relaxed,esmfold2,ESM
4pgj_H_B,98.96592808338757,relaxed,esmfold2,ESM
4pou_H_A,94.71224378505796,relaxed,esmfold2,ESM
4qo1_H_A,98.97827452613562,relaxed,esmfold2,ESM
4s10_H_A,96.76089998172698,relaxed,esmfold2,ESM
4s10_H_B,95.84472960753756,relaxed,esmfold2,ESM
4u3x_H_A,98.54321199375522,relaxed,esmfold2,ESM
4u3x_H_B,98.46729858330464,relaxed,esmfold2,ESM
4w2q_H_A,59.51425117699844,relaxed,esmfold2,ESM
4w2q_H_B,91.1985446818778,relaxed,esmfold2,ESM
4w2q_H_C,52.48806036755565,relaxed,esmfold2,ESM
4w2q_H_D,90.37698499370669,relaxed,esmfold2,ESM
4w6w_H_A,76.10025534630007,relaxed,esmfold2,ESM
4w6x_H_A,93.71807367797489,relaxed,esmfold2,ESM
4weu_H_A,81.20043442591911,relaxed,esmfold2,ESM
4weu_H_B,97.57154702898654,relaxed,esmfold2,ESM
4y7m_H_A,97.92819924936768,relaxed,esmfold2,ESM
4y7m_H_B,91.96678515667467,relaxed,esmfold2,ESM
5bop_H_A,34.68654103608577,relaxed,esmfold2,ESM
5bop_H_B,35.8358884313718,relaxed,esmfold2,ESM
5c2u_H_A,96.59326747394036,relaxed,esmfold2,ESM
5dmj_H_A,90.4768434018522,relaxed,esmfold2,ESM
5dmj_H_B,89.18588059498833,relaxed,esmfold2,ESM
5dmj_H_C,67.8199911464771,relaxed,esmfold2,ESM
5e0q_H_A,97.89938544232164,relaxed,esmfold2,ESM
5e5m_H_A,98.18221268820388,relaxed,esmfold2,ESM
5e5m_H_B,96.28757588241488,relaxed,esmfold2,ESM
5e5m_H_C,94.95092937804615,relaxed,esmfold2,ESM
5e5m_H_D,94.65200274491038,relaxed,esmfold2,ESM
5f1k_H_A,96.23606629774922,relaxed,esmfold2,ESM
5f1k_H_B,99.15943170014285,relaxed,esmfold2,ESM
5f1o_H_A,98.33512711648882,relaxed,esmfold2,ESM
5fv2_H_A,95.38334990985236,relaxed,esmfold2,ESM
5fv2_H_B,93.29712358899133,relaxed,esmfold2,ESM
5fv2_H_C,94.78243587881283,relaxed,esmfold2,ESM
5g5r_H_A,94.5414010211622,relaxed,esmfold2,ESM
5g5x_H_A,95.52401164064383,relaxed,esmfold2,ESM
5h8o_H_A,59.4883095792685,relaxed,esmfold2,ESM
5ihl_H_A,80.41762722863355,relaxed,esmfold2,ESM
5ihl_H_B,78.74505538716198,relaxed,esmfold2,ESM
5imk_H_A,95.95284958855228,relaxed,esmfold2,ESM
5iml_H_A,97.71244423044855,relaxed,esmfold2,ESM
5ip4_H_A,82.07579268924341,relaxed,esmfold2,ESM
5ip4_H_B,80.39324036655297,relaxed,esmfold2,ESM
5ja8_H_A,88.8461963561699,relaxed,esmfold2,ESM
5lhr_H_A,99.2546867196554,relaxed,esmfold2,ESM
5m2m_H_A,95.99468299795598,relaxed,esmfold2,ESM
5m2m_H_B,96.82794872159278,relaxed,esmfold2,ESM
5m2m_H_C,96.72504136720758,relaxed,esmfold2,ESM
5m2m_H_D,96.6556868000559,relaxed,esmfold2,ESM
5m2m_H_E,96.50642016625476,relaxed,esmfold2,ESM
5m2m_H_F,92.29349323236003,relaxed,esmfold2,ESM
5mp2_H_A,54.27108314039236,relaxed,esmfold2,ESM
5mp2_H_B,33.91715317907153,relaxed,esmfold2,ESM
5n88_H_A,95.28099855080244,relaxed,esmfold2,ESM
5n88_H_B,92.95228624127232,relaxed,esmfold2,ESM
5o2u_H_A,94.91505448240926,relaxed,esmfold2,ESM
5o2u_H_B,94.39154748318992,relaxed,esmfold2,ESM
5ocl_H_A,80.0828127182204,relaxed,esmfold2,ESM
5ocl_H_B,97.98571534432445,relaxed,esmfold2,ESM
5ocl_H_C,88.684481446918,relaxed,esmfold2,ESM
5ocl_H_D,97.78373843426724,relaxed,esmfold2,ESM
5ocl_H_E,96.45419068544612,relaxed,esmfold2,ESM
5ocl_H_F,89.92956520851111,relaxed,esmfold2,ESM
